Meeting_ID,Sales_Rep_ID,Sales_Rep_Name,Customer_ID,Call_Date,Call_Time,Call_Duration_Minutes,Customer_Feedback,Customer_Feedback_Rating,Call_Status
1.0,16.0,Chika Umeh,1.0,2025-03-05 20:22:15.403,10:24:00,21.0,Average,3.0,Completed
2.0,16.0,Chika Umeh,1.0,2024-10-26 20:22:15.403,08:39:00,4.0,Average,3.0,Completed
3.0,16.0,Chika Umeh,1.0,2024-05-03 20:22:15.403,08:55:00,10.0,Very Poor,1.0,Completed
4.0,16.0,Chika Umeh,1.0,2024-03-27 20:22:15.403,10:48:00,20.0,Very Poor,1.0,Completed
5.0,16.0,Chika Umeh,1.0,2025-02-19 20:22:15.403,09:41:00,28.0,Average,3.0,Completed
6.0,16.0,Chika Umeh,1.0,2024-04-04 20:22:15.403,08:10:00,27.0,Average,3.0,Completed
7.0,16.0,Chika Umeh,1.0,2025-03-05 20:22:15.403,11:49:00,10.0,Excellent,5.0,Completed
8.0,16.0,Chika Umeh,1.0,2024-07-03 20:22:15.403,17:10:00,10.0,Excellent,5.0,Completed
9.0,3.0,Tunde Balogun,2.0,2024-04-17 20:22:15.403,11:57:00,25.0,Very Poor,1.0,Completed
10.0,3.0,Tunde Balogun,2.0,2024-03-15 20:22:15.403,18:27:00,15.0,Very Poor,1.0,Completed
11.0,3.0,Tunde Balogun,2.0,2024-08-26 20:22:15.403,12:11:00,21.0,Very Poor,1.0,Completed
12.0,3.0,Tunde Balogun,2.0,2024-12-07 20:22:15.403,16:37:00,2.0,Excellent,5.0,Completed
13.0,3.0,Tunde Balogun,2.0,2025-02-08 20:22:15.403,08:35:00,2.0,Very Poor,1.0,Completed
14.0,3.0,Tunde Balogun,2.0,2024-11-09 20:22:15.403,13:12:00,3.0,Good,4.0,Completed
15.0,7.0,Segun Oladipo,3.0,2024-12-28 20:22:15.403,14:35:00,24.0,Very Poor,1.0,Completed
16.0,7.0,Segun Oladipo,3.0,2025-02-11 20:22:15.403,17:39:00,2.0,Very Poor,1.0,Completed
17.0,7.0,Segun Oladipo,3.0,2024-11-10 20:22:15.403,13:48:00,15.0,Good,4.0,Completed
18.0,7.0,Segun Oladipo,3.0,2025-02-17 20:22:15.403,17:17:00,8.0,Excellent,5.0,Completed
19.0,7.0,Segun Oladipo,3.0,2024-12-08 20:22:15.403,15:39:00,20.0,Average,3.0,Completed
20.0,7.0,Segun Oladipo,3.0,2024-05-25 20:22:15.403,09:18:00,4.0,Excellent,5.0,Completed
21.0,7.0,Segun Oladipo,3.0,2024-03-19 20:22:15.403,10:18:00,6.0,Average,3.0,Completed
22.0,7.0,Segun Oladipo,3.0,2024-11-05 20:22:15.403,10:46:00,8.0,Excellent,5.0,Completed
23.0,3.0,Tunde Balogun,4.0,2024-04-20 20:22:15.403,17:20:00,28.0,Good,4.0,Completed
24.0,3.0,Tunde Balogun,4.0,2024-06-26 20:22:15.403,12:56:00,3.0,Excellent,5.0,Completed
25.0,3.0,Tunde Balogun,4.0,2024-06-25 20:22:15.403,13:42:00,15.0,Poor,2.0,Completed
26.0,3.0,Tunde Balogun,4.0,2024-03-10 20:22:15.403,08:55:00,1.0,Average,3.0,Completed
27.0,3.0,Tunde Balogun,4.0,2024-11-24 20:22:15.403,10:59:00,17.0,Average,3.0,Completed
28.0,3.0,Tunde Balogun,4.0,2025-01-05 20:22:15.403,13:49:00,27.0,Excellent,5.0,Completed
29.0,3.0,Tunde Balogun,4.0,2024-06-19 20:22:15.403,08:30:00,7.0,Poor,2.0,Completed
30.0,3.0,Tunde Balogun,4.0,2024-08-16 20:22:15.403,10:57:00,16.0,Poor,2.0,Completed
31.0,2.0,Chioma Nwosu,5.0,2024-09-09 20:22:15.403,11:07:00,18.0,Excellent,5.0,Completed
32.0,2.0,Chioma Nwosu,5.0,2024-04-02 20:22:15.403,12:51:00,12.0,Excellent,5.0,Completed
33.0,2.0,Chioma Nwosu,5.0,2024-12-19 20:22:15.403,08:01:00,17.0,Poor,2.0,Completed
34.0,2.0,Chioma Nwosu,5.0,2025-01-14 20:22:15.403,14:49:00,18.0,Excellent,5.0,Completed
35.0,2.0,Chioma Nwosu,5.0,2025-03-06 20:22:15.403,18:16:00,15.0,Poor,2.0,Completed
36.0,2.0,Chioma Nwosu,5.0,2024-06-17 20:22:15.403,17:44:00,19.0,Poor,2.0,Completed
37.0,2.0,Chioma Nwosu,5.0,2024-11-08 20:22:15.403,11:05:00,28.0,Poor,2.0,Completed
38.0,14.0,Zainab Suleiman,6.0,2024-10-25 20:22:15.403,12:24:00,10.0,Average,3.0,Completed
39.0,14.0,Zainab Suleiman,6.0,2025-02-18 20:22:15.403,12:28:00,12.0,Average,3.0,Completed
40.0,14.0,Zainab Suleiman,6.0,2024-03-08 20:22:15.403,12:46:00,19.0,Average,3.0,Completed
41.0,14.0,Zainab Suleiman,6.0,2025-02-03 20:22:15.403,16:07:00,2.0,Good,4.0,Completed
42.0,14.0,Zainab Suleiman,6.0,2024-12-15 20:22:15.403,14:56:00,7.0,Poor,2.0,Completed
43.0,14.0,Zainab Suleiman,6.0,2024-09-07 20:22:15.403,08:12:00,20.0,Very Poor,1.0,Completed
44.0,14.0,Zainab Suleiman,6.0,2024-06-06 20:22:15.403,17:16:00,25.0,Average,3.0,Completed
45.0,14.0,Zainab Suleiman,6.0,2024-06-21 20:22:15.403,19:52:00,8.0,Poor,2.0,Completed
46.0,12.0,Yakubu Bello,7.0,2025-01-28 20:22:15.403,15:05:00,27.0,Poor,2.0,Completed
47.0,12.0,Yakubu Bello,7.0,2024-04-14 20:22:15.403,14:08:00,9.0,Excellent,5.0,Completed
48.0,12.0,Yakubu Bello,7.0,2024-12-11 20:22:15.403,19:58:00,6.0,Good,4.0,Completed
49.0,12.0,Yakubu Bello,7.0,2025-01-28 20:22:15.403,08:03:00,29.0,Average,3.0,Completed
50.0,12.0,Yakubu Bello,7.0,2025-03-01 20:22:15.403,11:00:00,25.0,Very Poor,1.0,Completed
51.0,12.0,Yakubu Bello,7.0,2025-02-11 20:22:15.403,19:46:00,5.0,Excellent,5.0,Completed
52.0,12.0,Yakubu Bello,7.0,2024-07-10 20:22:15.403,08:50:00,6.0,Good,4.0,Completed
53.0,12.0,Yakubu Bello,7.0,2024-07-08 20:22:15.403,17:55:00,5.0,Very Poor,1.0,Completed
54.0,12.0,Yakubu Bello,7.0,2025-02-26 20:22:15.403,11:27:00,21.0,Very Poor,1.0,Completed
55.0,12.0,Yakubu Bello,8.0,2024-11-04 20:22:15.403,18:10:00,25.0,Excellent,5.0,Completed
56.0,12.0,Yakubu Bello,8.0,2024-08-06 20:22:15.403,09:08:00,9.0,Poor,2.0,Completed
57.0,12.0,Yakubu Bello,8.0,2025-01-28 20:22:15.403,18:26:00,21.0,Good,4.0,Completed
58.0,12.0,Yakubu Bello,8.0,2024-12-15 20:22:15.403,18:54:00,1.0,Very Poor,1.0,Completed
59.0,12.0,Yakubu Bello,8.0,2024-06-10 20:22:15.403,10:15:00,19.0,Average,3.0,Completed
60.0,12.0,Yakubu Bello,8.0,2024-08-30 20:22:15.403,15:13:00,5.0,Excellent,5.0,Completed
61.0,12.0,Yakubu Bello,8.0,2024-06-13 20:22:15.403,10:32:00,18.0,Very Poor,1.0,Completed
